name,pop,lat,lon
New York ,15054,40.7305991,-73.9865812
College Station ,10188,30.6262616,-96.3347249
Santa Clara ,8343,37.3541132,-121.9551744
San Jose ,7869,37.3438502,-121.8831349
Mountain View ,6822,37.3855745,-122.08205
San Francisco ,5966,37.7792768,-122.4192704
Redmond ,5486,47.6694141,-122.1238767
Houston ,5013,29.7589382,-95.3676974
Sunnyvale ,4956,37.3688301,-122.0363496
Chicago ,4946,41.8755546,-87.6244212
Plano ,4692,33.0136764,-96.6925096
Seattle ,4030,47.6038321,-122.3300624
Philadelphia ,3211,39.952335,-75.163789
Cupertino ,3129,37.3230107,-122.0322519
San Diego ,3109,32.7174209,-117.1627714
Dallas ,3085,32.7761963,-96.7968994
Palo Alto ,2902,37.442156,-122.1634472
Atlanta ,2519,33.7490987,-84.3901849
Irving ,2464,32.8629195,-96.97917017
Boston ,2435,42.3604823,-71.0595678
Troy ,2333,42.6055893,-83.1499304
Fremont ,1919,37.5482697,-121.9885719
Columbus ,1860,39.9622601,-83.0007065
Jersey City ,1742,40.7281575,-74.0776417
Irvine ,1728,33.6856969,-117.8259819
Tampa ,1717,27.9477595,-82.458444
Los Angeles ,1700,34.053717,-118.2427266
Farmington Hills ,1698,42.4853125,-83.3771553
Charlotte ,1637,35.2270869,-80.8431268
Menlo Park ,1587,37.4538274,-122.1821871
Alpharetta ,1482,34.0709576,-84.2747329
Secaucus ,1398,40.7899291,-74.0566735
Austin ,1395,30.2711286,-97.7436995
Princeton,1384,40.3492744,-74.6592958
Princeton ,1384,40.3492744,-74.6592958
Bellevue ,1308,47.6144219,-122.1923372
Herndon ,1265,38.9695316,-77.3859479
Washington ,1184,38.8949549,-77.0366456
Milpitas ,1163,37.4282724,-121.9066238
Pittsburgh ,1094,40.4416941,-79.9900861
Redwood City ,1051,37.4852152,-122.2363548
Woburn ,1004,42.4792618,-71.1522766
Newark ,946,40.735657,-74.1723667
Richardson ,931,32.9481789,-96.7297206
Miami ,895,25.7742658,-80.1936589
Louisville ,870,38.2542376,-85.759407
Phoenix ,856,33.4467681,-112.0756724
Minneapolis ,824,44.9772995,-93.2654692
Foster City ,818,37.5600336,-122.2688522
Fairfax ,806,38.8462236,-77.3063733
Detroit ,805,42.3486635,-83.0567375
Richmond ,760,37.5385087,-77.43428
Baltimore ,751,39.2908608,-76.6108073
Omaha ,742,41.2587317,-95.9378732
Indianapolis  ,731,39.7683331,-86.1583502
Southfield ,724,42.4733689,-83.2218731
Round Rock ,714,30.5725805,-97.64840733
Springfield ,693,39.7989763,-89.6443688
Pleasanton ,692,37.6624312,-121.8746789
Milwaukee ,663,43.0349931,-87.922497
Burlington ,650,44.4723989,-73.2114941
San Antonio ,625,29.4246002,-98.4951405
Bentonville ,625,36.302283,-94.28158895
San Mateo ,616,37.496904,-122.3330573
Jacksonville ,611,30.3321838,-81.655651
Naperville ,599,41.7729107,-88.147867
Rockville ,580,39.0840054,-77.1527573
St. Louis ,565,38.6272733,-90.1978889
Cleveland ,561,41.5051613,-81.6934446
Englewood ,549,40.8928771,-73.9726381
Brooklyn ,546,40.6501038,-73.9495823
Rochester ,543,43.1854754,-77.61068605
Waltham ,540,42.3756401,-71.2358004
Duluth ,532,46.7729322,-92.1251218
San Ramon ,532,37.7799273,-121.9780153
Frisco ,522,35.2351765,-75.6284903
Madison ,516,43.074761,-89.3837613
Ann Arbor ,516,42.2681569,-83.7312291
Cary ,515,35.7882973,-78.7811925
Stamford ,511,41.0534302,-73.5387341
Chandler ,489,33.3067132,-111.8408489
Wilmington ,481,39.7459468,-75.546589
Norcross ,475,33.9412127,-84.2135309
Overland Park ,474,38.9822282,-94.6707917
El Segundo ,472,33.911731,-118.3836804
Sterling ,470,41.788642,-89.6962194
Arlington ,454,32.7355816,-97.1071186
Salt Lake City ,447,40.7670126,-111.8904308
Denver ,436,39.7391536,-104.9847034
Fort Worth ,420,32.753177,-97.3327459
Torrance ,413,33.8358492,-118.3406288
Portland ,410,45.5202471,-122.6741949
Orlando ,401,28.5421175,-81.3790462
Raleigh ,394,35.7804015,-78.6390779
Aliso Viejo ,394,33.5761376,-117.7258122
Greenwood Village ,391,39.6172101,-104.9508141
Peoria ,384,40.6938609,-89.5891008
Scottsdale ,383,33.5091215,-111.8992365
Auburn Hills ,382,42.6647495,-83.23093751
Memphis ,377,35.1490215,-90.0516285
Woonsocket ,371,42.0028761,-71.5147839
Cincinnati ,370,39.1014537,-84.5124602
Folsom ,361,38.6779591,-121.1760583
Bloomington ,355,39.1670396,-86.5342881
Kansas City ,348,39.0844687,-94.5630298
Las Vegas ,346,36.1662859,-115.149225
Santa Monica ,346,34.0195598,-118.4869739
Buffalo ,337,42.8864468,-78.8783689
Suwanee ,321,34.0514898,-84.0712997
South Burlington ,316,44.4669941,-73.1709604
Fort Lauderdale ,311,26.1223084,-80.1433786
Livonia ,309,42.36837,-83.3527097
Glendale ,306,34.1423455,-118.2483671
Novi ,305,42.48059,-83.4754913
Lexington ,301,38.0464066,-84.4970393
Addison ,296,41.931696,-87.9889556
Little Rock ,287,34.7464809,-92.2895948
Gaithersburg ,279,39.1434406,-77.2013705
Dayton ,274,39.7589478,-84.1916069
Cedar Rapids ,271,41.9758872,-91.6704053
Albany ,267,42.6511674,-73.754968
Tacoma ,266,47.2495798,-122.4398746
Los Gatos ,265,37.226611,-121.9746797
Wixom ,264,42.5247729,-83.5363339
Baton Rouge ,260,30.4507462,-91.154551
Pasadena ,260,34.1476452,-118.1444779
Brea ,259,33.9170444,-117.8888557
Campbell ,259,37.2158191,-79.1165953
Johns Creek ,258,34.0181557,-84.190196
Lake Forest ,254,42.2586342,-87.840625
Carlsbad ,249,33.1580933,-117.3505939
Oakland ,245,37.8044557,-122.2713563
South San Francisco ,244,37.6549493,-122.4081251
Hartford ,243,41.7634935,-72.6830523
Boca Raton ,243,26.3586885,-80.0830984
Clearwater ,240,27.9658533,-82.8001026
Rolling Meadows ,240,42.0841936,-88.0131275
Gainesville ,234,29.651907,-82.3247976
Oklahoma City ,232,35.4729886,-97.5170536
Warren ,228,40.8442828,-90.6168408
Falls Church ,228,38.882334,-77.1710914
Flushing ,222,40.7654301,-73.8174291
Andover ,219,42.65717,-71.1408776
Tempe ,218,33.4144139,-111.9094474
Norwalk ,218,41.1175966,-73.4078968
Iowa City ,216,41.6612561,-91.5299106
Morrisville ,212,35.823483,-78.8255621
Albuquerque ,211,35.0841034,-106.6509851
Burbank ,210,34.1816482,-118.3258554
Coral Gables ,206,25.6905515,-80.23500888
Brentwood ,202,37.9317766,-121.6960266
East Moline ,201,41.5008673,-90.4442979
Sioux Falls ,194,43.5499749,-96.700327
Eden Prairie ,184,44.8546856,-93.470786
Lawrenceville ,184,33.9562149,-83.9879625
Emeryville ,182,37.8314089,-122.2865266
Tallahassee ,178,30.4380832,-84.2809332
Nashua ,178,42.7653662,-71.467566
Roswell ,176,33.3942655,-104.5230242
Eagan ,176,44.818173,-93.1659179
Tulsa ,172,36.1556805,-95.9929113
Fairfield ,172,38.2493581,-122.0399663
Fargo ,171,46.8772292,-96.789821
Norwood ,170,45.0696839,-89.04196248
Wayne ,170,38.4251958,-88.4197678
Farmington ,169,36.7304288,-108.2089191
Brookfield ,169,43.0605671,-88.1064787
Wichita ,167,37.6922361,-97.3375448
Savannah ,165,32.0835407,-81.0998342
Newport Beach ,163,33.6170092,-117.9294401
Sacramento ,162,38.5815719,-121.4943996
